CID,B1Card#,Description,Value
117,504141,ST2 POS SEQUENCE PENDING TRDS,50-50
117,504142,ST2 POS SEQUENCE WHEN ISSUES,50-40
117,504143,ST2 POS SEQUENCE PEND DSTRBTN,50-60
117,504144,ST2 POS SEQUENCE GNMA,50-70
117,504145,ST2 POS SEQUENCE IRA,50-45
117,504147,ST2 OPTION TT-SS-147,-
117,504148,ST2 OPTION TT-SS-148,-
117,504149,ST2 OPTION TT-SS-149,-
117,504150,ST2 B228 TRID/CATEGORY CHECKS,30-11
117,504151,ST2 B228 TRID ANNUITIES,-  - -
117,504152,ST2 B228 TRID/CATG CHARG CARD,-  -  - - -
117,504160,ST2 POSITIONS CATEGORY HEADING,-
117,504170,ST2 BONDS & OPTIONS RECAP(S),0-00
117,504172,ST2 ACTIVITY SUMMARY,0
117,504173,ST2 ACTIVITY BUCKETS,1
117,504174,ST2 OTHER ACTIVITY BUCKET,0-0
117,504175,ST2 PS REGULAR ACTIVITY BUCKET,0-0
117,504176,ST2 WI (W) ACTIVITY BUCKET,0-0
117,504177,ST2 CREDIT INT ACTIVITY BUCKET,
117,504178,ST2 DEBIT  INT ACTIVITY BUCKET,
117,504179,ST2 DIV/INT ACTIVITY BUCKET,-
117,504181,ST2 CATEGORY MARKET VAL BUCKET,00-0-0-0-0
117,504182,ST2 CATEGORY ACTIVITY BUCKET,01-1-1-1
117,504182,ST2 CATEGORY ACTIVITY BUCKET,05-1-2-2
117,504182,ST2 CATEGORY ACTIVITY BUCKET,10-1-3-3
117,504182,ST2 CATEGORY ACTIVITY BUCKET,15-1-5-5
117,504182,ST2 CATEGORY ACTIVITY BUCKET,20-1-6-6
117,504183,ST2 ACTIVITY BUCKETS - YTD,1
117,504184,ST2 ACTIVITY W/H OPTION,W-
117,504191,ST2 TRADE DATE DISPLAY,0
117,504192,ST2 DIV/INT EXPENSES DISPLAY,0
117,504193,ST2 PAIR OFF MATCH,0
117,504194,ST2 SHORT MV BUCKET ON B228,0
117,504195,ST2 A/I FOR POSITIONS - CALC,1
117,504196,ST2 A/I FOR POSITIONS - BUCKET,1
117,504197,ST2 POSITION A/I PRINT (ABS),0
117,504198,ST2 UNSETTLED TRADES SEQUENCE,0
117,504199,ST2 OPTION / SSF ACCTS PRINT,0
117,504200,ST2 PRINCIPAL PARTY RANGES,-
117,504201,ST2 BATCH/ENTRY AS MESSAGE,-
117,504202,ST2 IRA FILE RANGES,-
117,504203,ST2 FULL BOND PUT DESCRIPTION,
117,504204,ST2 PARTIAL BOND PUT DESCRIPT,
117,504205,ST2 XTRA N/A SEGMENT 6 ON B228,2
117,504206,ST2 FIELDS EXPANS - OLD STMT,0
117,504207,ST2 FIELDS EXPANS - FAILS STMT,0
117,504208,ST2 CURRENCY TABLE ON B228,1
117,504209,ST2 FLOAT RATE BOND A/I CALC,3
117,504210,ST2 FIELD EXP- POSITIONS PRICE,1
117,504211,ST2 END-OF-YEAR EQUITY BUCKET,0
117,504212,ST2 END-OF-YEAR A/C BALANCE,0
117,504213,ST2 END-OF-YEAR MMF BUCKET,0
